"idCedente","idGrupoEconomico","dataCadastro","dataValidadeInicial","dataValidadeFinal","valorLimiteGlobal","flagRecuperacaoJudicial","dataEntradaRJ","nmSegmento","UF","nmRegiao","nmCidade","nmBairro"
1,0,"2021-08-11","2025-06-09","2025-11-30",2000000000,Não,,"Bancos múltiplos, com carteira comercial",DF,Centro Oeste,BRASÍLIA,Asa Norte
2,333,"2021-08-10","2022-10-10","2022-10-30",440000000,Não,,Fabricação de álcool,GO,Centro Oeste,ITAPACI,CENTRO
3,0,"2018-07-30","2020-01-06","2020-02-06",0.0,Não,,Fabricação de embalagens metálicas,SP,Sudeste,GUARULHOS,Jardim Nossa Senhora Aparecida
4,354,"2021-12-20","1900-01-01","2022-09-30",18000000,Não,,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",SP,Sudeste,SÃO PAULO,Canindé
5,0,"2018-11-26","1900-01-01","1900-01-01",0.0,Não,,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",MG,Sudeste,BELO HORIZONTE,Santa Terezinha
6,0,"2019-01-18","2025-10-30","2026-02-28",2500000.0,Sim,"2024-04-18",Comércio atacadista de óleos e gorduras,MG,Sudeste,CAETÉ,PITO ACESSO
7,0,"2020-03-06","1900-01-01","1900-01-01",0.0,Não,,Preparação e fiação de fibras de algodão,PR,Sul,TOLEDO,Jardim Coopagro
8,0,"1900-01-01","1900-01-01","1900-01-01",0.0,Não,,Montagem de estruturas metálicas,SP,Sudeste,GUARUJA,CING
9,0,"2021-07-26","1900-01-01","1900-01-01",0.0,Não,,Fabricação de artefatos de material plástico para usos industriais,PR,Sul,CURITIBA,CIDADE INDUSTRIAL
10,0,"2021-09-08","2021-09-06","2022-03-05",0.0,Sim,"2022-02-21",Curtimento e outras preparações de couro,GO,Centro Oeste,TRINDADE,ZONA RURAL
11,302,"2019-09-04","2021-03-29","2021-09-28",0.0,Não,,"Construção de redes de transportes por dutos, exceto para água e esgoto",SP,Sudeste,MOGI DAS CRUZES,Caputera
12,13,"2018-04-23","2022-01-31","2022-01-31",1.0,Sim,"2022-02-21",Serviços combinados de escritório e apoio administrativo,SP,Sudeste,SÃO PAULO,Jardim Jabaquara
13,13,"2018-07-16","1900-01-01","1900-01-01",1.0,Sim,"2022-02-21",Fabricação de outros produtos de metal não especificados anteriormente,SP,Sudeste,JUNDIAÍ,Jardim Guanabara
14,13,"2018-07-16","1900-01-01","1900-01-01",1.0,Não,,Produção de artefatos estampados de metal,SP,Sudeste,JUNDIAÍ,Jardim Guanabara
15,277,"2022-01-17","2022-01-17","2022-01-17",8500000.0,Não,,Sem Segmento,SP,Sudeste,MOCOCA,CENTRO
16,131,"2020-05-07","2020-04-01","2020-08-01",0.0,Não,,Fabricação de outros produtos alimentícios não especificados anteriormente,PR,Sul,CURITIBA,JARDIM SOCIAL
17,131,"2020-03-05","1900-01-01","1900-01-01",0.0,Não,,Fabricação de outros produtos alimentícios não especificados anteriormente,PR,Sul,CASTRO,Bom Sucesso
18,0,"2018-12-21","1900-01-01","1900-01-01",0.0,Não,,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",SP,Sudeste,JUNDIAÍ,Distrito Industrial
19,0,"2018-11-05","2019-08-16","2019-08-17",0.0,Não,,Fabricação de materiais para medicina e odontologia,SP,Sudeste,ARUJÁ,Portão
20,0,"2019-09-17","2025-08-04","2025-11-30",10000000,Não,,Fabricação de azulejos e pisos,SP,Sudeste,CORDEIRÓPOLIS,Centro
